Date,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
2016-02-01T19:08:10.594596,79.12,8.83,0.63
2016-02-01T19:20:39.592928,37.77,11.2,0.70
2016-02-01T19:27:49.852654,46.55,11.3,0.66
2016-02-01T19:30:52.137633,45.16,11.3,0.71
2016-02-01T19:45:59.595609,58.34,9.51,0.58
2016-02-01T20:00:55.409072,52.18,11.3,0.70
2016-02-01T20:15:44.915159,50.91,11.2,0.69
2016-02-01T20:31:00.471246,45.61,11.3,0.72
2016-02-01T20:45:45.423650,58.56,8.82,0.70
2016-02-01T21:01:03.512133,43.23,10.0,0.60
2016-02-01T21:15:56.718069,52.6 ,10.0,0.68
2016-02-01T21:30:44.031346,45.47,11.0,0.71
2016-02-01T21:45:50.786067,51.63,11.3,0.69
2016-02-01T22:00:42.880798,45.77,11.2,0.69
2016-02-01T22:15:53.091273,51.77,11.3,0.71
2016-02-01T22:30:57.792351,57.19,11.3,0.71
